850.99,3.32e-26
853.41,3.28e-26
855.82,4.71e-26
858.23,6.55e-26
860.64,7.45e-26
863.05,9.17e-26
865.46,1.1e-25
867.87,1.26e-25
870.27,1.52e-25
872.68,1.8e-25
875.09,2.02e-25
877.49,2.31e-25
879.9,2.62e-25
882.3,2.98e-25
884.7,3.41e-25
887.11,3.76e-25
889.51,4.16e-25
891.91,4.54e-25
894.31,4.96e-25
896.71,5.41e-25
899.11,5.82e-25
901.51,6.3e-25
903.91,6.69e-25
906.32,6.96e-25
908.73,7.22e-25
911.14,7.34e-25
913.55,7.48e-25
915.96,7.43e-25
918.38,7.28e-25
920.81,7.03e-25
923.23,6.71e-25
925.66,6.3e-25
928.09,5.89e-25
930.52,5.49e-25
932.95,5.04e-25
935.37,4.63e-25
937.8,4.24e-25
940.23,3.91e-25
942.65,3.58e-25
945.08,3.3e-25
947.5,3.06e-25
949.92,2.92e-25
952.34,2.87e-25
954.75,2.94e-25
957.16,3.06e-25
959.57,3.2e-25
961.98,3.31e-25
964.39,3.46e-25
966.8,3.8e-25
968.62,4.36e-25
969.34,5e-25
970.1,5.98e-25
970.32,6.87e-25
970.97,7.91e-25
970.99,7.37e-25
971.12,8.56e-25
971.28,9.05e-25
971.43,9.63e-25
971.58,1.04e-24
971.87,1.23e-24
971.89,1.16e-24
971.91,1.1e-24
972.01,1.31e-24
972.16,1.39e-24
972.29,1.5e-24
972.31,1.44e-24
972.44,1.58e-24
972.59,1.65e-24
972.71,1.8e-24
972.73,1.75e-24
972.75,1.68e-24
972.86,1.88e-24
972.95,2.12e-24
972.99,2.01e-24
973.14,2.06e-24
973.18,1.94e-24
973.19,2.18e-24
973.39,2.38e-24
973.58,2.31e-24
973.6,2.26e-24
973.71,2.43e-24
973.86,2.5e-24
974,2.61e-24
974.02,2.54e-24
974.15,2.69e-24
974.3,2.74e-24
974.76,2.8e-24
975.58,2.92e-24
975.64,2.86e-24
976.84,2.72e-24
977.05,2.79e-24
977.6,2.66e-24
977.62,2.61e-24
977.78,2.5e-24
978.02,2.29e-24
978.21,2.4e-24
978.23,2.34e-24
978.62,2.19e-24
978.78,2.24e-24
978.81,2.13e-24
978.97,2.02e-24
979.22,1.94e-24
979.42,1.87e-24
979.43,1.82e-24
979.99,1.71e-24
980.01,1.64e-24
980.03,1.58e-24
980.41,1.31e-24
980.48,1.44e-24
980.62,1.37e-24
981.02,1.19e-24
981.22,1.12e-24
981.24,1.22e-24
981.41,1.05e-24
981.57,9.06e-25
981.61,9.76e-25
982.17,8.47e-25
982.33,7.11e-25
982.36,7.79e-25
982.77,5.92e-25
982.81,6.46e-25
983.49,5.09e-25
984.03,4.13e-25
984.86,3.47e-25
985.98,2.77e-25
987.72,2.17e-25
989.98,1.69e-25
992.4,1.42e-25
994.82,1.24e-25
997.24,1.1e-25
999.66,1.06e-25
1002.1,9.67e-26
1004.5,9.39e-26
1006.9,9.41e-26
1009.3,9.43e-26
1011.7,9.45e-26
1014.2,9.47e-26
1016.6,9.49e-26
1019,8.39e-26
1021.4,7.82e-26
1023.8,7.08e-26
1026.2,6.8e-26
1028.7,5.88e-26
1031.1,5.78e-26
1033.5,4.69e-26
1035.9,4.24e-26
1038.3,3.84e-26
1040.7,3.51e-26
1043.2,3.53e-26
1045.6,3.25e-26
1048,2.74e-26
1050.4,2.76e-26
1052.8,2.78e-26
1055.2,2.8e-26
1057.6,2.82e-26
1060.1,2.84e-26
1062.5,2.86e-26
1064.2,2.87e-26
